,GEBRUIK,TT,UF,BT,RT,CBS English,NT,Historische notitie,Scope notitie
milieudruk,milieuvervuiling,999,999,999,999,999,999,999,999
milieugedrag,999,natuur en milieu,999,milieu,999,environmental performance,999,999,999
milieuheffingen,999,natuur en milieu,"milieubelastingen, groene belastingen",milieukosten,"ontvangen belastingen, motorrijtuigenbelasting",environmental taxes,afvalstoffenbelasting,999,999
milieuhinder,999,natuur en milieu,milieuoverlast,milieu,999,environmental nuisance,"geurhinder, geluidshinder",999,999
milieuinvesteringen,milieu-investeringen,999,999,999,999,999,999,999,999
milieuklasse,999,natuur en milieu,999,energielabel,999,environmental class,999,999,999
milieukosten,999,natuur en milieu,999,milieu,999,environmental costs,"verwijderingsbijdrage, netto milieulasten, milieusubsidies, milieuheffingen, milieu-investeringen, leidingwaterbelasting, kosten natuur en landschap, grondwaterbelasting",999,999
milieumaatregel,999,natuur en milieu,999,milieubeleid,999,environmental measure,999,999,999
milieuoverlast,milieuhinder,999,999,999,999,999,999,999,999
milieuproblematiek,999,natuur en milieu,"milieuvoetafdruk, milieuthema's, milieuproblemen, ecologische voetafdruk",milieu,milieuvervuiling,environmental issues,"verzuring, vermesting, verdroging, smog, ozonlaag, klimaatverandering, afval",999,999
milieuproblemen,milieuproblematiek,999,999,999,999,999,999,999,999
milieurekeningen,999,macro-economie,"milieu-economische indicatoren, milieu-economische effecten",nationale rekeningen,milieuvervuiling,environmental accounts,"natuurlijk kapitaal, materiaalverbruik, emissiehandel",999,999
milieusectoren,999,natuur en milieu,999,milieu,999,environmental sector,"waterleidingbedrijven, milieudienstverlening",999,999
milieusubsidies,999,natuur en milieu,999,milieukosten,subsidies,environmental subsidies,999,999,999
milieuthema's,milieuproblematiek,999,999,999,999,999,999,999,999
milieuverontreiniging,milieuvervuiling,999,999,999,999,999,999,999,999
milieuvervuiling,999,natuur en milieu,"milieuverontreiniging, milieudruk, milieu-effecten, emissies, emissie",milieu,"milieurekeningen, milieuproblematiek",environmental pollution,"waterverontreiniging, schadelijke stoffen, luchtverontreiniging, bodemverontreiniging",999,999
milieuvoetafdruk,milieuproblematiek,999,999,999,999,999,999,999,999
militair apparaat,krijgsmacht,999,999,999,999,999,999,999,999
militaire dienst,dienstplicht,999,999,999,999,999,999,999,999
militaire keuring,999,overheid en politiek,999,krijgsmacht,999,military inspection,999,999,999
militie,dienstplicht,999,999,999,999,999,999,999,999
militieregisters,999,overheid en politiek,militiestatistieken,dienstplicht,999,militia registry,999,Registers voor administratie van diensplichtigen in de 19e en 20e eeuw.,999
militiestatistieken,militieregisters,999,999,999,999,999,999,999,999
miljoenennota,999,overheid en politiek,999,rijksbegroting,999,budget,999,999,999
miljonairs,999,inkomen en vermogen,999,vermogensklassen,999,millionaires,999,999,999
Min BiZa,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,999,999,999,999,999,999,999,999
Min EZ,Ministerie van Economische Zaken,999,999,999,999,999,999,999,999
minderjarig,minderjarigen,999,999,999,999,999,999,999,999
minderjarige verdachte,999,veiligheid en recht,verdachte jongeren,verdachten,jeugdcriminaliteit,minor suspect,999,999,999
minderjarigen,999,bevolking,minderjarig,leeftijdsgroepen,999,minor,999,999,999
mineralen,999,natuur en milieu,999,mineralenuitscheiding,nutriënten,minerals,"stikstof, nitraten, kalium, fosfaten",999,999
mineralenbalansen,999,natuur en milieu,999,mineralenuitscheiding,999,mineral balances,"sectorbalans (landbouw), bodembalans (landbouwgrond)",999,999
mineralenproductie,mineralenuitscheiding,999,999,999,999,999,999,999,999
mineralenuitscheiding,999,natuur en milieu,mineralenproductie,vermesting,999,mineral extraction,"mineralenbalansen, mineralen",999,999
minimuminkomens,lage inkomens,999,999,999,999,999,999,999,999
minimumjeugdlonen,999,arbeid en sociale zekerheid,999,minimumlonen,999,minimum youth wages ,999,999,999
minimumlonen,999,arbeid en sociale zekerheid,minimumloon,lonen,999,minimum wages,minimumjeugdlonen,999,999
minimumloon,minimumlonen,999,999,999,999,999,999,999,999
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,999,overheid en politiek,Min BiZa,centrale overheid,999,Ministry of the Interior and Kingdom Relations,999,999,999
Ministerie van Economische Zaken,999,overheid en politiek,Min EZ,centrale overheid,999,Ministry of Economic Affairs,999,999,999
Ministerie van Financiën,999,overheid en politiek,999,centrale overheid,999,Ministry of Finance,Belastingdienst,999,999
Ministerie van Justitie,999,overheid en politiek,999,centrale overheid,999,Ministry of Justice,999,999,999
Ministerie van OCW,999,overheid en politiek,"Ministerie van Onderwijs, Cultuur en Wetenschap",centrale overheid,onderwijsbeleid,"Ministry of Education, Culture and Sciences",999,999,999
"Ministerie van Onderwijs, Cultuur en Wetenschap",Ministerie van OCW,999,999,999,999,999,999,999,999
Ministerie van Sociale Zaken en Werkgelegenheid,999,overheid en politiek,SZW,centrale overheid,999,Ministry of Social Affairs and Employment,999,999,999
"Ministerie van Volksgezondheid, Welzijn en Sport",Ministerie van VWS,999,999,999,999,999,999,999,999
Ministerie van VWS,999,overheid en politiek,"Ministerie van Volksgezondheid, Welzijn en Sport",centrale overheid,999,999,999,999,999
minnelijk traject,999,veiligheid en recht,999,buitengerechtelijke procedures,999,amicable procedure,999,999,999
misdaad,criminaliteit,999,999,999,999,999,999,999,999
misdrijf tegen de openbare orde,999,veiligheid en recht,misdrijven tegen de openbare orde,misdrijven,999,crime against public order,"schennis der eerbaarheid, discriminatie",999,999
misdrijf tegen het leven,999,veiligheid en recht,misdrijven tegen het leven,misdrijven,999,crime against life   ,"moord, doodslag",999,999
misdrijf tegen het openbaar gezag,999,veiligheid en recht,misdrijven tegen het openbaar gezag,misdrijven,999,crime against public authorities,999,999,999
misdrijven,999,veiligheid en recht,999,delicten,999,crimes,"vernieling, vermogensmisdrijf, verkeersmisdrijf, stalking, opgehelderd misdrijf, misdrijf tegen het openbaar gezag, misdrijf tegen het leven, misdrijf tegen de openbare orde, geweldsmisdrijf, cybercrime",999,999
misdrijven tegen de openbare orde,misdrijf tegen de openbare orde,999,999,999,999,999,999,999,999
misdrijven tegen het leven,misdrijf tegen het leven,999,999,999,999,999,999,999,999
misdrijven tegen het openbaar gezag,misdrijf tegen het openbaar gezag,999,999,999,999,999,999,999,999
mishandeling,999,veiligheid en recht,999,geweldsmisdrijf,999,abuse,kindermishandeling,999,999
mitigatie,999,natuur en milieu,999,klimaatverandering,999,mitigation,999,999,999
MJK,museumjaarkaart,999,999,999,999,999,999,999,999
mkb,midden- en kleinbedrijf,999,999,999,999,999,999,999,999
mms,middelbare meisjes school,999,999,999,999,999,999,999,999
mobiel bellen,mobiele telefonie,999,999,999,999,999,999,999,999
mobiel internet,999,technologie,999,internet,smartphones,mobile internet,999,999,999
mobiele bronnen,999,natuur en milieu,999,luchtverontreiniging,999,mobile sources,999,999,999
mobiele telefonie,999,technologie,mobiel bellen,telefonie,999,mobile telephony,smartphones,999,999
mobiliteit,verkeer en vervoer,999,999,999,999,999,999,999,999
mobiliteit van personen,999,verkeer en vervoer,999,verkeer en vervoer,999,personal mobility,"vervoermiddellenbezit, verplaatsingsmotieven, rijbewijsbezit, reizigers",999,999
modaliteit,vervoertakken,999,999,999,999,999,999,999,999
MOE-landen,Midden- en Oost-Europa,999,999,999,999,999,999,999,999
moedermaatschappij,999,bedrijven,999,concern,999,mother company,999,999,999
moeders,999,bevolking,999,ouders,werkende moeders,mothers,tienermoeders,999,999
moedersterfte,999,bevolking,999,sterfte,999,maternal deaths,999,999,999
moeilijk rondkomen,financiële problemen,999,999,999,999,999,999,999,999
mohammedanen,islam,999,999,999,999,999,999,999,999
Monaco,999,geografie,999,Europa,999,Monaco,999,999,999
mondhygiëne,999,zorg en gezondheid,999,mondzorg,999,oral hygiene,999,999,999
mondialisering,globalisering,999,999,999,999,999,999,999,999
mondzorg,999,zorg en gezondheid,999,gezondheidszorg,999,oral care,"tandartsenzorg, orthodontie, mondhygiëne",999,999
Montenegro,999,geografie,999,Europa,999,Montenegro,999,999,999
Montessori,999,onderwijs,montessorionderwijs,onderwijsmethode,999,Montessori,999,999,999
montessorionderwijs,Montessori,999,999,999,999,999,999,999,999
moord,999,veiligheid en recht,moorden,misdrijf tegen het leven,999,murder,999,999,999
moorden,moord,999,999,999,999,999,999,999,999
moslims,islam,999,999,999,999,999,999,999,999
mossen,999,natuur en milieu,999,flora,999,mossens and lichens,korstmossen,999,999
motorbenzine,benzine,999,999,999,999,999,999,999,999
motorbranche,autobranche,999,999,999,999,999,999,999,999
motorbrandstoffen,999,industrie en energie,999,brandbare energiedragers,999,motor fuels,"pompprijzen, lpg, kerosine, jetfuel op benzinebasis, diesel, biobrandstoffen, benzine",999,999
motorbussen,autobussen,999,999,999,999,999,999,999,999
motoren,motorfietsen,999,999,999,999,999,999,999,999
motorfiets,motorfietsen,999,999,999,999,999,999,999,999
motorfietsen,999,verkeer en vervoer,"motorrijwielen, motorfiets, motoren",motorvoertuigen,autobranche,motorcycles,999,999,999
motorrijtuigen,motorvoertuigen,999,999,999,999,999,999,999,999
motorrijtuigenbelasting,999,inkomen en vermogen,"wegenbelasting, belasting op auto",belastingen,milieuheffingen,road tax,999,999,999
motorrijwielen,motorfietsen,999,999,999,999,999,999,999,999
motorvermogen,999,verkeer en vervoer,999,binnenvloot,999,engine power,999,999,999
motorvoertuigen,999,verkeer en vervoer,"motorvoertuigenpark, motorrijtuigen, gemotoriseerd",voertuigenpark,999,motor vehicles,"verkeersprestaties, snorfietsen, scooters, personenauto's, oldtimers, motorfietsen, bromfietsen, bedrijfsvoertuigen",999,999
motorvoertuigenpark,motorvoertuigen,999,999,999,999,999,999,999,999
MS,multiple sclerose,999,999,999,999,999,999,999,999
mts,middelbare technische school,999,999,999,999,999,999,999,999
Mulder beschikking,beschikking Wet Mulder,999,999,999,999,999,999,999,999
multi-functionele landbouw,999,landbouw en visserij,multifunctionele landbouw,landbouwbeleid,999,multifunctional agriculture,"zorgboerderijen, boerderij-educatie, agro-toerisme, agrarisch natuurbeheer",999,999
multifunctionele landbouw,multi-functionele landbouw,999,999,999,999,999,999,999,999
multimodaal vervoer,intermodaal vervoer,999,999,999,999,999,999,999,999
multimodale terminals,999,verkeer en vervoer,999,terminals,999,multimodal terminals,999,999,999
multinationals,999,bedrijven,999,structuur van bedrijven,globalisering,multinationals,"nederlandse multinationals, buitenlandse multinationals",999,999
multiple sclerose,999,zorg en gezondheid,MS,chronische ziekten,999,multiple sclerosis,999,999,999
musea,999,recreatie en cultuur,museum,culturele voorzieningen,999,museums ,"rijksmusea, gemeentemusea, collectie",999,999
museum,musea,999,999,999,999,999,999,999,999
museum jaarkaart,museumjaarkaart,999,999,999,999,999,999,999,999
museumbezoek,999,recreatie en cultuur,999,cultuurparticipatie,999,museum visits,museumjaarkaart,999,999
museumjaarkaart,999,recreatie en cultuur,"Museumkaart, museum jaarkaart, MJK",museumbezoek,999,museum card,999,999,999
Museumkaart,museumjaarkaart,999,999,999,999,999,999,999,999
musicals,999,recreatie en cultuur,muziektheater,podiumkunsten,999,musicals,999,999,999
mutaties,999,bouwen en wonen,999,woningvoorraad,999,mutations,"nieuwbouwwoningen, afbraak",999,999
mutaties van het voertuigenpark,999,verkeer en vervoer,999,voertuigenpark,999,changes in car fleet composition,"verkoop van voertuigen, buiten registratie gesteld, autosloop",999,999
muziek,999,recreatie en cultuur,999,podiumkunsten,999,music ,999,999,999
muziekonderwijs,999,recreatie en cultuur,999,kunstzinnige vorming,999,music education,999,999,999
muziekscholen,muziekschool,999,999,999,999,999,999,999,999
muziekschool,999,recreatie en cultuur,muziekscholen,instellingen kunstzinnige vorming,999,music school,999,999,999
muziektheater,musicals,999,999,999,999,999,999,999,999
MVO,maatschappelijk verantwoord ondernemen,999,999,999,999,999,999,999,999
naamloze vennootschap,999,veiligheid en recht,nv,rechtspersoon,999,public company,999,999,999
nabestaandenpensioenen,999,arbeid en sociale zekerheid,999,pensioenen,999,survivor's pension,999,999,999
nabijheid,afstand,999,999,999,999,999,999,999,999
nafta,999,industrie en energie,999,lichte olie,999,naphtha,999,999,999
nakomelingen,geboorten,999,999,999,999,999,999,999,999
nalatenschappen,999,inkomen en vermogen,erfenis,vermogen,999,legacies,999,999,999
nanotechnologie,999,technologie,999,technologiegebieden,999,nano technology,999,999,999
nareizigers,gezinshereniging,999,999,999,999,999,999,999,999
nationaal inkomen,999,macro-economie,999,macro-economische indicatoren,999,national income,"bruto toegevoegde waarde in basisprijzen, bruto nationaal inkomen, bbp",999,999
nationaal vermogen,999,macro-economie,999,nationale rekeningen,999,national wealth level,pensioenreserves,999,999
nationale boekhouding,nationale rekeningen,999,999,999,999,999,999,999,999
nationale hypotheekgarantie,999,bouwen en wonen,999,aankoopkosten,999,National Mortgage Guarantee,999,999,999
nationale identiteit,999,overheid en politiek,999,politieke kwesties,999,national identity,999,999,999
nationale militie,dienstplicht,999,999,999,999,999,999,999,999
Nationale Politie,999,veiligheid en recht,999,Organisaties gerelateerd aan Veiligheid en Recht,politie,National Police Force,Landelijke Eenheid,999,999
nationale problemen,999,overheid en politiek,beleidsterreinen,politieke kwesties,999,national problems,999,999,999
nationale rekeningen,999,macro-economie,nationale boekhouding,macro-economie,"toerismerekeningen, SNA",national accounts ,"regionale rekeningen, nationaal vermogen, milieurekeningen, input-outputtabellen, illegale economie, financiële rekeningen, COICOP",999,999
nationaliteit,999,bevolking,nationaliteiten,bevolkingskenmerken,999,nationality,"staatloos, niet-Nederlanders, Nederlanderschap, nationaliteitswijzigingen, dubbele nationaliteit",999,999
nationaliteiten,nationaliteit,999,999,999,999,999,999,999,999
nationaliteitswijzigingen,999,bevolking,999,nationaliteit,999,changes of nationality,999,999,999
natura2000,999,natuur en milieu,999,natuurbeleid,999,Natura 2000,999,999,999
naturalisatie,999,bevolking,verkrijging nederlanderschap,Nederlanderschap,999,naturalisation,medenaturalisatie,999,999
natuur,999,natuur en milieu,999,natuur en milieu,999,nature  ,"weer, natuurgebieden, natuurbeleid, flora, fenologie, fauna, ecosystemen, biodiversiteit",999,999
natuur en milieu,999,999,999,999,999,nature and environment,"natuur, milieu",999,999
natuurbaden,strand- of natuurbaden,999,999,999,999,999,999,999,999
natuurbeheer,999,natuur en milieu,natuurbescherming,natuurbeleid,999,nature management,999,999,999
natuurbeleid,999,natuur en milieu,999,natuur,999,nature policy,"wetlands, vogelrichtlijn, natuurontwikkeling, natuurbeheer, natura2000, habitatrichtlijn, flora- en faunawet, ecologische hoofdstructuur",999,999
natuurbescherming,natuurbeheer,999,999,999,999,999,999,999,999
natuurgebieden,999,natuur en milieu,999,natuur,999,nature reserves,999,999,999
natuurlijk kapitaal,999,macro-economie,natuurlijk kapitaalrekeningen,milieurekeningen,natuurwaarde,natural capital,ecosysteemdiensten,999,999
natuurlijk kapitaalrekeningen,natuurlijk kapitaal,999,999,999,999,999,999,999,999
natuurlijk persoon,natuurlijke persoon,999,999,999,999,999,999,999,999
natuurlijke hulpbronnen,fossiele energiedragers,999,999,999,999,999,999,999,999
natuurlijke personen,natuurlijke persoon,999,999,999,999,999,999,999,999
natuurlijke persoon,999,veiligheid en recht,"natuurlijke personen, natuurlijk persoon",juridische eenheid,999,natural person,999,999,999
natuurontwikkeling,999,natuur en milieu,999,natuurbeleid,999,nature development,999,999,999
natuurterreinen,bos en natuur,999,999,999,999,999,999,999,999
natuurwaarde,999,natuur en milieu,999,biodiversiteit,natuurlijk kapitaal,nature value,999,999,999
Nederland,999,overheid en politiek,999,"Europese Unie, Europa, EMU",999,Netherlands,"Zuid-Holland, Zeeland, Utrecht, Overijssel, Noord-Holland, Noord-Brabant, Limburg, Groningen, Gelderland, Friesland, Flevoland, Drenthe",999,999
Nederland langs de Europese meetlat,999,CBS corporate termen,999,publicaties,999,The Netherlands along the European scale,999,999,999
Nederlanderschap,999,bevolking,999,nationaliteit,999,Dutch citizenship,"verlies nederlanderschap, naturalisatie",999,999
Nederlands als tweede taal,999,onderwijs,NT2,volwasseneneducatie,999,Dutch as a second language,999,999,999
Nederlandse achtergrond,autochtonen,999,999,999,999,999,999,999,999
nederlandse antillen,caribisch nederland,999,999,999,999,999,999,999,999
Nederlandse cultuur,999,overheid en politiek,999,waarden en normen,999,Dutch culture,culturele dreiging,999,999
nederlandse economie,macro-economie,999,999,999,999,999,999,999,999
Nederlandse grootte-eenheid,999,landbouw en visserij,"Standaardopbrengst, Nge",landbouwtelling,bedrijfsopbrengsten,Dutch size unit (NGE),999,999,999
nederlandse multinationals,999,bedrijven,999,multinationals,999,Dutch multinationals,999,999,999
Nederlandse Publieke Omroep,NPO,999,999,999,999,999,999,999,999
NEG-bedrijfstypering,999,landbouw en visserij,NEG-typering,landbouwtelling,999,NEG classification,brutostandaardsaldo,999,999
NEG-typering,NEG-bedrijfstypering,999,999,999,999,999,999,999,999
neo-natale sterfte,neonatale sterfte,999,999,999,999,999,999,999,999
neonatale sterfte,999,bevolking,neo-natale sterfte,zuigelingensterfte,999,infant mortality,eersteweeksterfte,999,999
netto milieulasten,999,natuur en milieu,nettomilieulasten,milieukosten,999,net environmental costs,999,999,999
netto omzet,999,bedrijven,999,omzet,999,net turnover,999,999,999
netto-arbeidsparticipatie,werkzame beroepsbevolking,999,999,999,999,999,999,999,999
nettolonen,999,arbeid en sociale zekerheid,999,lonen,999,net wages,999,999,999
nettomilieulasten,netto milieulasten,999,999,999,999,999,999,999,999
nettoresultaat,bedrijfsresultaten,999,999,999,999,999,999,999,999
nettovervangingsfactor,vervangingsniveau,999,999,999,999,999,999,999,999
netwerkanalyse,999,statistische methoden,999,statistische methoden,999,network analysis,999,999,999
newsroom,persdienst,999,999,999,999,999,999,999,999
Nge,Nederlandse grootte-eenheid,999,999,999,999,999,999,999,999
niet instellen en/of staken van de behandelingen,999,bevolking,NIS,medische beslissing levenseinde,999,not starting and/or ending treatment,999,999,999
niet verzekerden,onverzekerden,999,999,999,999,999,999,999,999
niet-bekostigd onderwijs,999,onderwijs,999,onderwijsfinanciën,999,privately funded education,"sector sociaal, sector economisch, sector beta, sector alpha",999,999
niet-beroepsbevolking,999,arbeid en sociale zekerheid,potentiële additionele beroepsbevolking,onbenut arbeidsaanbod,999,people not in the labour force,999,999,"Mensen die op zoek zijn naar werk maar niet onmiddellijk beschikbaar zijn (bijvoorbeeld vanwege het moeten afronden van een opleiding, persoonlijke omstandigheden of ziekte) en mensen die beschikbaar zijn voor werk maar recentelijk niet hebben gezocht (bijvoorbeeld vanwege ontmoediging). Dit deel van het onbenut arbeidsaanbod behoort, in tegenstelling tot de werklozen, niet tot de beroepsbevolking."
niet-bewoonde woningen,leegstaande woningen,999,999,999,999,999,999,999,999
niet-commerciële dienstverlening,999,diensten,999,diensten,999,non-commercial services,999,999,999
niet-confessionele scholen,999,onderwijs,999,bijzondere scholen,999,non-confessional schools,"vrije school, algemeen bijzonder onderwijs",999,999
niet-echtelijke geboorten,buitenechtelijke geboorten,999,999,999,999,999,999,999,999
niet-frequente aankopen,duurzame consumptiegoederen,999,999,999,999,999,999,999,999
niet-geëlektrificeerd spoorwegnet,999,verkeer en vervoer,999,spoorwegennet,999,non-electrified rail ,999,999,999
niet-gehuwd paar,ongehuwde partners,999,999,999,999,999,999,999,999
niet-gemotoriseerd,999,verkeer en vervoer,999,voertuigenpark,999,non-motorised,"opleggers, caravan, aanhangers",999,999
niet-georganiseerde reis,999,recreatie en cultuur,999,vakantiekenmerken,999,unorganised trip,999,999,999
niet-gezinsarbeidskracht,999,arbeid en sociale zekerheid,999,zmp,999,non-family labour ,999,999,999
niet-hernieuwbaar afval,999,natuur en milieu,999,afval,999,non-renewable waste,999,999,999
niet-hernieuwbaar huishoudelijk afval,999,natuur en milieu,999,huishoudelijk afval,999,non-renewable household waste,999,999,999
niet-Nederlanders,999,bevolking,"vreemdelingen, buitenlanders",nationaliteit,999,non-Dutch,999,999,999
niet-regelmatig werkzame arbeidskracht,oproepkrachten,999,999,999,999,999,999,999,999
niet-technologische innovatie,999,kenniseconomie,999,innovatie,999,non-technological innovation,"organisatorische innovatie, marketinginnovatie",999,999
niet-uitkeringsgerechtigden,999,arbeid en sociale zekerheid,NUG'ers,sociale uitkeringen,999,not entitled to benefits,999,999,999
niet-voorgeschreven geneesmiddelen,999,zorg en gezondheid,vrij verkrijgbare geneesmiddelen,geneesmiddelen,999,non-prescription medicine,999,999,999
niet-westerse achtergrond,niet-westerse allochtonen,999,999,999,999,999,999,999,999
niet-westerse allochtonen,999,bevolking,niet-westerse achtergrond,migratieachtergrond,999,non-western immigrants,999,999,999
Nieuw-Zeeland,999,geografie,999,Oceanië,999,New Zealand,999,999,999
nieuwbouw,nieuwbouwprojecten,999,999,999,999,999,999,999,999
nieuwbouw koopwoningen,999,bouwen en wonen,999,koopwoningen,999,newly constructed owner-occupied homes,999,999,999
nieuwbouwopdrachten,nieuwbouwprojecten,999,999,999,999,999,999,999,999
nieuwbouwprojecten,999,bouwen en wonen,"nieuwbouwopdrachten, nieuwbouw",bouwen,ontwerpopdrachten,new building projects,"bouwvergunningen, bouwtijd, bouwsom, bouwkosten",999,999
nieuwbouwwoningen,999,bouwen en wonen,gereedgekomen woningen,mutaties,999,new-build homes,999,999,999
nieuwe dienstverlening,CBS dienstverlening,999,999,999,999,999,999,999,999
nieuwe media,999,diensten,999,media,sociale media,new media,999,999,999
nieuwe nederlanders,migratieachtergrond,999,999,999,999,999,999,999,999
nieuwe sociale media,sociale media,999,999,999,999,999,999,999,999
nieuwkomers,999,bevolking,999,migratieachtergrond,999,newcomers,999,999,999
nieuwsbief,abonnementen,999,999,999,999,999,999,999,999
nieuwsbrieven,abonnementen,999,999,999,999,999,999,999,999
Nijmegen,999,overheid en politiek,999,Gelderland,999,Nijmegen,999,999,999
nijverheid,industrie,999,999,999,999,999,999,999,999
NIS,niet instellen en/of staken van de behandelingen,999,999,999,999,999,999,999,999
nitraatrichtlijn,999,natuur en milieu,999,mestbeleid,999,nitraatrichtlijn,999,999,999
nitraten,999,natuur en milieu,999,mineralen,999,nitrates,999,999,999
nivelleren,inkomensherverdeling,999,999,999,999,999,999,999,999
nodaal gebied,999,onderwijs,999,onderwijsstatistieken,999,nodal area,999,999,999
Nomenclature uniforme des marchandises pour les Statistiques de Transport Revisée,NSTR,999,999,999,999,999,999,999,999
nonrespons,respons,999,999,999,999,999,999,999,999
noodsteun,999,overheid en politiek,999,steunmaatregelen,999,emergency aid,999,999,999
Noord-Amerika,999,geografie,999,Amerika,999,North America,Verenigde Staten,999,999
Noord-Brabant,999,overheid en politiek,999,Nederland,999,Noord-Brabant,"Kempen, Eindhoven, Den Bosch",999,999
Noord-Holland,999,overheid en politiek,999,Nederland,999,Noord-Holland,"Schagen, Haarlem, Amsterdam",999,999
Noorwegen,999,geografie,999,Europa,999,Norway,999,999,999
Normaal,999,industrie en energie,normaalbenzine,benzine,999,Normal,999,999,999
Normaal loodvrij,999,industrie en energie,"Euro loodvrij, Euro 95, benzine Euro95",benzine,999,Normal unleaded,999,999,999
normaalbenzine,Normaal,999,999,999,999,999,999,999,999
normen en waarden,waarden en normen,999,999,999,999,999,999,999,999
nOSV,Organisatiewet sociale verzekeringen 1995,999,999,999,999,999,999,999,999
notariaat,999,diensten,notarissen,rechtskundige dienstverlening,999,notary,999,999,999
notariskosten,999,bouwen en wonen,999,aankoopkosten,notarissen,notary fees,999,999,999
notarissen,notariaat,999,999,999,999,999,999,999,999
NPO,999,overheid en politiek,Nederlandse Publieke Omroep,zelfstandige bestuursorganen,999,NPO,999,999,999
NST 2007,NST2007,999,999,999,999,999,999,999,999
NST2007,999,verkeer en vervoer,NST 2007,goederenclassificaties,999,NST 2007,999,999,999
NSTR,999,verkeer en vervoer,"Nomenclature uniforme des marchandises pour les Statistiques de Transport Revisée, goederennaamlijst NSTR",goederenclassificaties,999,NSTR,999,999,999
NT2,Nederlands als tweede taal,999,999,999,999,999,999,999,999
nucleaireindustrie,999,industrie en energie,999,olie- en steenkoolproducten,999,nuclear industry,999,999,999
NUG'ers,niet-uitkeringsgerechtigden,999,999,999,999,999,999,999,999
nuluitkeringen,999,arbeid en sociale zekerheid,999,sociale uitkeringen,999,zero benefits,999,999,999
nulurencontracten,999,arbeid en sociale zekerheid,999,flexwerkers,999,zero-hours contracts,999,999,999
nutriënten,999,natuur en milieu,veevoedergrondstoffen,schadelijke stoffen,mineralen,nutrients,999,999,999
nv,naamloze vennootschap,999,999,999,999,999,999,999,999
OAD,omgevingsadressendichtheid,999,999,999,999,999,999,999,999
obesitas,overgewicht,999,999,999,999,999,999,999,999
obligatie-emissie,obligaties,999,999,999,999,999,999,999,999
obligatie-uitgifte,obligaties,999,999,999,999,999,999,999,999
obligaties,999,macro-economie,"obligatie-uitgifte, obligatie-emissie",effecten,staatsobligaties,bonds,999,999,999
occult bloedtest,bevolkingsonderzoek darmkanker,999,999,999,999,999,999,999,999
Oceanië,999,geografie,999,geografie,999,Oceania,"Nieuw-Zeeland, Australië",999,999
octrooi,999,kenniseconomie,"patenten, patent, octrooirechten, octrooibureaus",intellectuele eigendomsrechten,999,patent,999,999,999
octrooibureaus,octrooi,999,999,999,999,999,999,999,999
octrooirechten,octrooi,999,999,999,999,999,999,999,999
Oekraïne,999,geografie,999,Europa,999,Ukraine,999,999,999
off shoring,offshoring,999,999,999,999,999,999,999,999
officier van justitie,999,veiligheid en recht,OvJ,Openbaar Ministerie,999,Public Prosecutor,999,999,999
offshoring,999,bedrijven,"off shoring, captive offshoring",productie-organisatie,globalisering,offshoring,"internationale outsourcing, insourcing",999,Het verplaatsen van bedrijfsactiviteiten naar het buitenland.
oldtimers,999,verkeer en vervoer,999,motorvoertuigen,999,oldtimer,999,999,999
olie,999,industrie en energie,999,brandbare energiedragers,999,oil,"zware olie, ruwe aardolie, lichte olie, additieven",999,999
olie- en steenkoolproducten,999,industrie en energie,999,industrie,999,oil and coal products,"olie-industrie, nucleaireindustrie",999,999
olie-industrie,999,industrie en energie,999,olie- en steenkoolproducten,999,oil industry,999,999,999
olieproductie,999,industrie en energie,999,energieproductie,999,oil production,999,999,999
olieverbruik,999,industrie en energie,999,energieverbruik,999,oil consumption,999,999,999
OM,Openbaar Ministerie,999,999,999,999,999,999,999,999
OM-afdoening,afdoening door het Openbaar Ministerie,999,999,999,999,999,999,999,999
omgevingsadressendichtheid,999,bouwen en wonen,OAD,stedelijkheid,bevolkingsdichtheid,surrounding address density,999,999,999
omvang der bevolking,inwoners,999,999,999,999,999,999,999,999
omzet,999,bedrijven,"verkopen, omzetontwikkeling, omzetcijfers",bedrijfsopbrengsten,999,turnover,"snelle groeiers, netto omzet, handelsomzet, buitenlandse omzet, binnenlandse omzet",999,999
omzetcijfers,omzet,999,999,999,999,999,999,999,999
omzetontwikkeling,omzet,999,999,999,999,999,999,999,999
onbenut arbeidsaanbod,999,arbeid en sociale zekerheid,"onbenut arbeidspotentieel, arbeidsreserve",potentiële beroepsbevolking,999,unused labour supply,"werkloze beroepsbevolking, niet-beroepsbevolking",999,"Tot het onbenut arbeidsaanbod worden hier alle mensen gerekend die op korte termijn beschikbaar zijn om te werken of recent naar werk hebben gezocht. Aan de ene kant gaat het daarbij om werklozen, dat wil zeggen mensen die beschikbaar zijn én recent hebben gezocht. Aan de andere kant gaat het om mensen die op zoek zijn naar werk maar niet onmiddellijk beschikbaar zijn (bijvoorbeeld vanwege het moeten afronden van een opleiding, persoonlijke omstandigheden of ziekte) en mensen die beschikbaar zijn voor werk maar recentelijk niet hebben gezocht (bijvoorbeeld vanwege ontmoediging). Het tweede deel van het onbenut arbeidsaanbod behoort, in tegenstelling tot de werklozen, niet tot de beroepsbevolking"
onbenut arbeidspotentieel,onbenut arbeidsaanbod,999,999,999,999,999,999,999,999
